video,codec,target_kbps,actual_kbps,frames,psnr_db,lpips
Bosphorus_1920x1080_120fps_420_8bit_YUV,h264,200,217.736,600,24.347766,0.596586
Bosphorus_1920x1080_120fps_420_8bit_YUV,h264,250,247.768,600,26.0109,0.581695
Bosphorus_1920x1080_120fps_420_8bit_YUV,h264,300,264.1936,600,27.87508,0.527493
Bosphorus_1920x1080_120fps_420_8bit_YUV,h264,350,289.6992,600,28.349641,0.516898
Bosphorus_1920x1080_120fps_420_8bit_YUV,h265,200,214.3344,600,29.35001,0.474297
Bosphorus_1920x1080_120fps_420_8bit_YUV,h265,250,262.0848,600,31.156201,0.421616
Bosphorus_1920x1080_120fps_420_8bit_YUV,h265,300,312.312,600,32.001993,0.395731
Bosphorus_1920x1080_120fps_420_8bit_YUV,h265,350,362.2,600,32.557889,0.373953
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h264,200,264.8192,600,15.911333,0.77836
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h264,250,333.8288,600,17.034483,0.756236
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h264,300,389.736,600,17.179983,0.748095
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h264,350,417.5024,600,17.085909,0.74199
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h265,200,720.5824,600,21.207143,0.598565
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h265,250,720.5824,600,21.207143,0.598565
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h265,300,720.5824,600,21.207143,0.598565
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,h265,350,711.304,600,21.272415,0.596008
